Date,Description,Amount,Category
2024-01-01,Salary,3000,Income
2024-01-02,Rent,-800,Housing
2024-01-03,Grocery Store,-120,Food
2024-01-05,Netflix,-15,Entertainment
2024-01-07,Electric Bill,-90,Utilities
2024-01-08,Restaurant,-45,Food
2024-01-10,Grocery Store,-60,Food
2024-01-12,Uber,-25,Transport
2024-01-14,Amazon,-110,Shopping
2024-01-15,Salary,3000,Income
2024-01-16,Gym Membership,-40,Health
2024-01-18,Restaurant,-55,Food
2024-01-20,Phone Bill,-30,Utilities
2024-01-22,Grocery Store,-75,Food
2024-01-25,Cinema,-20,Entertainment
2024-01-27,Uber,-15,Transport
2024-01-28,Clothing Store,-200,Shopping
2024-01-30,Internet Bill,-50,Utilities
